Layer,k[0],k[1:]
0,7787450.920374908,"[5782227.030734912, 4079857.580702059, 3396082.480517078, 3007333.898839306, 2753153.8119265586, 2573788.4528571405, 2441158.507933546, 2340101.4828239083, 2261625.5468168035, 2200024.721468672, 2151488.0465792716, 2113366.7278742567, 2083760.4961528406, 2061270.9509946704, 2044847.7156976536, 2033688.818803899, 2027174.1153383106, 2024819.572179757, 2026245.1431185678, 2031151.7388282493, 2039304.4318191782, 2050520.029100962, 2064657.7652624398, 2081612.2657826021, 2101308.190572664, 2123696.1417779624, 2148749.538494706, 2176462.243357867, 2206846.7840078324, 2239933.054062605, 2275767.4085365534, 2314412.0910990387, 2355944.947488606, 2400459.3924176246, 2448064.6075402796, 2498885.95633851, 2553065.608692333, 2610763.3738869578, 2672157.7462131977, 2737447.172410205, 2806851.5552129745, 2880614.0124014914, 2959002.916198775, 3042314.243819535, 3130874.2766361088, 3225042.6930226684, 3325216.108721599, 3431832.1288496703, 3545373.9877821505, 3666375.867559448, 3795429.002700597, 3933188.7000306547, 4080382.4271861315, 4237819.153882951, 4406400.167149186, 4587131.627197564, 4781139.186597198, 4989685.064623088, 5214188.054667652, 5456247.04996708, 5717668.8076194525, 6000500.840798497, 6307070.544583857, 6640031.93569985, 7002421.739171565, 7397727.010314494, 7829967.072378218, 8303793.324821621, 8824611.498426765, 9398732.290180236, 10033558.127958655, 10737816.269828767, 11521851.789378464, 12397998.605346859, 13381053.121249199, 14488884.050934553, 15743224.826107621, 17170713.453632355, 18804271.66728419, 20684955.193376124, 22864467.121557176, 25408618.497009277, 28402163.92245853, 31955668.572006285, 36215434.887507915, 41378136.93033242, 47712871.02674949, 55595201.40101707, 65561187.61497033, 78395827.48278093, 95283069.3928039, 118070885.19329679, 149762543.35631025, 195479867.5823865, 264483855.23607492, 374777460.53322744, 564726759.7180657, 926549303.639348, 1721416405.4725575]"
1,7908050.224654684,"[5872632.020702945, 4144694.631564375, 3450908.915979389, 3056651.048513353, 2799016.45703524, 2617343.051203586, 2483126.273164425, 2380975.0892885216, 2301762.9802731127, 2239699.210972205, 2190916.855259061, 2152728.8235322386, 2123207.958119884, 2100936.65128088, 2084850.683963865, 2074138.1142609417, 2068171.707048282, 2066462.544640392, 2068627.433902204, 2074365.547151506, 2083441.39384529, 2095672.227768533, 2110918.6238463745, 2129077.3618455604, 2150076.018389061, 2173868.8454085886, 2200433.6336318105, 2229769.3432961553, 2261894.343281552, 2296845.1421773583, 2334675.525662154, 2375456.037472263, 2419273.7585418224, 2466232.3522548527, 2516452.354319513, 2570071.6943842024, 2627246.443772346, 2688151.7900742143, 2752983.245158747, 2821958.0987394005, 2895317.1351971477, 2973326.6371486336, 3056280.705467254, 3144503.932335809, 3238354.471669793, 3338227.5601626635, 3444559.5525850505, 3557832.547173381, 3678579.691418931, 3807391.2758639455, 3944921.744279206, 4091897.7736907005, 4249127.608177185, 4417511.867498428, 4598056.097112954, 4791885.38214156, 5000261.417068481, 5224602.508990347, 5466507.099598527, 5727781.525817037, 6010472.908948451, 6316908.277703941, 6649741.305370152, 7012008.394084275, 7407196.294598758, 7839324.041824967, 8313042.761099249, 8833757.921347052, 9407779.968040347, 10042511.085946769, 10746678.296441585, 11530626.440749168, 12406689.207327724, 13389662.769022226, 14497415.605838299, 15751680.909258008, 17179096.435774803, 18812583.654126763, 20693198.005405843, 22872642.267005205, 25416727.1361714, 28410206.82093495, 31963646.03952408, 36223346.69769114, 41385982.214900136, 47720648.13482106, 55602907.709970474, 65568819.27276003, 78403379.05128956, 95290533.34505165, 118078251.18943417, 149769797.1753956, 195486989.50189734, 264490817.49470282, 374784223.2143221, 564733263.8036747, 926555458.8084617, 1721422067.9676623]"
2,8031785.9086687565,"[5965410.87907646, 4211262.126588335, 3507221.6974211037, 3107326.0994424373, 2846161.5868312567, 2662134.581928652, 2526304.4957186803, 2423046.002880972, 2343094.5443570763, 2280572.555698432, 2231555.8114490286, 2193318.049482651, 2163904.6438316256, 2141878.4030075073, 2126161.0346356854, 2115930.503959842, 2110552.4478821456, 2109533.0950866565, 2112486.1947914064, 2119109.321862109, 2129166.6111313403, 2142475.9969520792, 2158899.6730762273, 2178336.897293091, 2200718.5334976166, 2226002.903311789, 2254172.641741559, 2285232.3362974226, 2319206.7889795154, 2356139.7835894674, 2396093.2722704113, 2439146.918551311, 2485397.951884538, 2534961.3024036735, 2587969.9955620766, 2644575.7952931523, 2704950.091987297, 2769285.0383760333, 2837794.942729935, 2910717.9349107593, 2988317.9270463586, 3070886.897154823, 3158747.5311855227, 3252256.266914591, 3351806.792212039, 3457834.0607113093, 3570818.900222853, 3691293.303793803, 3819846.510682136, 3957132.005335629, 4103875.5876096785, 4260884.697943389, 4429059.2183896005, 4609404.015912861, 4803043.5503923595, 5011238.9390179515, 5235407.954799712, 5477148.544301331, 5738266.584451735, 6020808.7682287395, 6327101.724540442, 6659798.752508283, 7021935.90308404, 7416999.596340448, 7849008.554689586, 8322613.606936097, 8843219.939305574, 9417137.726305753, 10051768.891379535, 10755840.20207733, 11539696.251065135, 12415670.481121123, 13398558.8196764, 14506229.49865973, 15760415.455456018, 17187754.182507575, 18821166.869844377, 20701708.659466267, 22881082.002189994, 25425097.232253492, 28418508.146791577, 31971878.99035275, 36231511.11255336, 41394077.267869115, 47728672.190122604, 55610858.12713957, 65576692.141091704, 78411168.82220423, 95298232.313725, 118085848.74826348, 149777278.71245432, 195494334.72981596, 264497997.8341155, 374791197.548517, 564739971.3152795, 926561806.3958955, 1721427907.4192414]"
3,8158773.039502876,"[6060651.549074082, 4279625.225588933, 3565077.6732148416, 3159411.7944066487, 2894639.784271326, 2708212.582159076, 2570742.3966836594, 2466363.6562738977, 2385670.295724146, 2322695.779942155, 2273457.209099166, 2235188.246688798, 2205906.2053081393, 2184153.9280304536, 2168838.8189847097, 2159128.63381508, 2154381.853378944, 2154099.8970921487, 2157893.562688306, 2165458.988755159, 2176560.1476384625, 2191015.9153462574, 2208690.4140598997, 2229485.7385673523, 2253336.4503619224, 2280205.405421227, 2310080.606000766, 2342972.8531030715, 2378914.037275225, 2417955.9492139965, 2460169.5237119347, 2505644.454352841, 2554489.1345274746, 2606830.8944915235, 2662816.515530482, 2722613.0116989315, 2786408.6777115166, 2854414.4088645577, 2926865.3057579696, 3004022.583389163, 3086175.811198786, 3173645.5181325674, 3266786.205027908, 3365989.815927267, 3471689.7306022197, 3584365.353020221, 3704547.3851533383, 3832823.892982155, 3969847.2924416065, 4116342.4082542956, 4273115.789131641, 4441066.500035584, 4621198.657745093, 4814636.03201884, 5022639.1039198935, 5246625.058917373, 5488191.2997841835, 5749143.199066818, 6031526.980853051, 6337668.837101996, 6670221.65868783, 7032221.114039779, 7427153.263675034, 7859036.490836114, 8332521.30309996, 8853012.581060022, 9426820.206897616, 10061345.822759897, 10765315.92362383, 11549074.835909545, 12424955.739934444, 13407754.301684678, 14515338.489575207, 15769440.971885383, 17196698.962250054, 18830033.35729122, 20710498.985048294, 22889797.954461694, 25433740.220711708, 28427079.152843237, 31980378.502885997, 36239939.04318631, 41402432.83894193, 47736953.78552008, 55619063.0915252, 65584816.506177425, 78419206.92768335, 95306176.27267969, 118093687.67716813, 149784997.5949167, 195501912.69270134, 264505405.4483142, 374798392.4493787, 564746890.8128018, 926568354.493309, 1721433931.2655215]"
4,8289132.156726239,"[6158446.197739847, 4349852.26944728, 3624536.510602664, 3212963.531908404, 2944504.2183096744, 2755629.1601112597, 2616491.7905453704, 2510980.126010604, 2429543.0085899755, 2366122.7197302803, 2316676.267131582, 2278396.312828839, 2249271.501560867, 2227824.3244918287, 2212947.6537353992, 2203798.9254136384, 2199729.447507791, 2200235.8897447363, 2204926.2235164344, 2213495.3350026608, 2225707.272689402, 2241382.1457916796, 2260386.349238515, 2282625.213127315, 2308037.451280892, 2336590.968724966, 2368279.7142340243, 2403121.351856768, 2441155.587375924, 2482443.030296758, 2527064.5046502054, 2575120.7463199347, 2626732.443249926, 2682040.5894990414, 2741207.135912612, 2804415.930068597, 2871873.946790293, 2943812.8184126616, 3020490.6815577447, 3102194.3647674024, 3189241.949282691, 3281985.743853122, 3380815.724030301, 3486163.4973000884, 3598506.8680264205, 3718375.090986654, 3846354.9198403955, 3983097.5778570175, 4129326.8034979105, 4285848.154040217, 4453559.7876930535, 4633464.990241736, 4826686.768340468, 5034484.900871068, 5258275.925856143, 5499656.647840381, 5760431.885420918, 6042647.348574191, 6348628.7509709, 6681028.537370533, 7042881.958919942, 7437674.684603423, 7869424.729007125, 8342782.251221895, 8863151.800939739, 9436842.944517821, 10071257.020879358, 10775120.231880873, 11558776.618352473, 12434559.079835534, 13417263.003416538, 14524756.077229261, 15778770.684189618, 17205943.743186355, 18839195.841603816, 20719581.47756207, 22898802.40175873, 25442668.173205316, 28435931.714587748, 31989156.265463352, 36248641.99859089, 41411060.26430881, 47745504.08946967, 55627533.60724306, 65593203.20917463, 78427504.04482865, 95314375.7307086, 118101778.30824053, 149792963.96417642, 195509733.31941223, 264513050.0204339, 374805817.304075, 564754031.3105083, 926575111.621521, 1721440147.3390236]"
5,8422989.59326509,"[6258891.466076421, 4422014.971602859, 3685660.8680434413, 3268039.531047173, 2995810.8068860583, 2804439.1595865227, 2663607.2535967566, 2556950.306752503, 2474768.356493227, 2410910.2136689797, 2361271.3309085816, 2323002.4159469455, 2294062.8260579854, 2272954.3098317906, 2258554.981491439, 2250011.8558871597, 2246669.0642157868, 2248018.6033273935, 2253665.7647588253, 2263304.3915797994, 2276698.8766647503, 2293670.888024524, 2314089.4764374048, 2337863.6495738924, 2364936.7779702544, 2395282.3863793015, 2428901.0124371946, 2465817.9038330764, 2506081.3883162886, 2549761.796356499, 2596950.8496557623, 2647761.453717023, 2702327.851856172, 2760806.11316517, 2823374.939262569, 2890236.7851075083, 2961619.298403427, 3037777.0907063037, 3118993.861723453, 3205584.906825468, 3297900.0468494296, 3396327.0292001814, 3501295.4604378045, 3613281.3433787525, 3732812.3067200333, 3860473.6328980923, 3996915.21098879, 4142859.566815257, 4299111.153095186, 4466567.11978063, 4646229.830378473, 4839221.446162045, 5046800.969514161, 5270384.223742187, 5511567.354147285, 5772154.569922417, 6054191.016428411, 6360001.882959455, 6692239.12601462, 7053937.540836632, 7448582.369405836, 7880191.22499904, 8353413.888085872, 8873654.549569517, 9447222.4340958, 10081518.553250462, 10785268.793217927, 11568816.888049066, 12444495.43649131, 13427099.527697206, 14534496.551280022, 15788418.5871557, 17215502.24222499, 18848667.777564526, 20728969.34422207, 22908108.317119777, 25451893.840835214, 28445078.37225926, 31998224.61732, 36257632.1255973, 41419971.50560427, 47754334.8840667, 55636281.280715466, 65601863.682561755, 78436071.43127394, 95322841.76636302, 118110131.53233635, 149801188.50886357, 195517807.07355094, 264520941.75427794, 374813482.00385904, 564761402.3062208, 926582086.7580776, 1721446563.891873]"
6,8560477.818712283,"[6362088.73684866, 4496188.623291716, 3748516.580130659, 3324701.008600261, 3048618.3921661526, 2854700.3370143473, 2712146.305386476, 2604332.099215448, 2521405.1085493565, 2457118.3092281893, 2407304.090234548, 2369070.2258947194, 2340346.1534056813, 2319612.4846298844, 2305732.353809461, 2297842.2624806687, 2295279.175975099, 2297530.5145897716, 2304199.0605027378, 2314977.8514798135, 2329631.9261839166, 2347984.8750825524, 2369908.8312795013, 2395316.9714606255, 2424157.882853985, 2456411.343364343, 2492085.192597851, 2531213.0622882247, 2573852.798926875, 2620085.4577784836, 2670014.7815771997, 2723767.1028422415, 2781491.6285188794, 2843361.0813516527, 2909572.685316384, 2980349.4935234636, 3055942.066969633, 3136630.521924868, 3222726.973066807, 3314578.409138143, 3412570.0482981354, 3517129.231885612, 3628729.9284350425, 3747897.934994474, 3875216.8806732595, 4011335.1585858464, 4156973.937829703, 4312936.437894344, 4480118.68529129, 4659522.017891765, 4852267.658629477, 5059613.74959591, 5282975.323688388, 5523947.798440069, 5784334.711476058, 6066180.587031722, 6371810.038547277, 6703874.487270355, 7065408.229551822, 7459896.040955067, 7891355.097227544, 8364434.766848475, 8884538.851105332, 9457976.204368562, 10092147.484327614, 10795778.236704648, 11579211.86552614, 12454780.646832585, 13437279.35105431, 14544575.049414694, 15798399.499666393, 17225388.978045046, 18858463.40088415, 20738676.553695202, 22917729.41681856, 25461430.700873375, 28454532.37625307, 32007596.59279722, 36266922.25194317, 41429179.19192505, 47763458.60607159, 55645318.360758185, 65610809.98933089, 78444920.96351969, 95331586.0654484, 118118758.83573675, 149809682.50065494, 195526144.98837686, 264529091.40824866, 374821396.97686815, 564769013.8127382, 926589289.3669043, 1721453189.623025]"
7,8701735.806899851,"[6468144.421505185, 4572452.313686412, 3813172.8561445884, 3383012.3693661913, 3102988.929104116, 2906473.5521618277, 2762169.604381006, 2653186.6130491495, 2569515.341539949, 2504810.485916473, 2454839.815472126, 2416667.1652860865, 2388191.407134965, 2367871.619352199, 2354555.7392129228, 2347369.6743514165, 2345643.2521411777, 2348859.4347375184, 2356618.6924765185, 2368613.527610138, 2384609.9631334245, 2404433.918259442, 2427961.083465621, 2455109.3509922326, 2485833.1470718235, 2520119.206608355, 2557983.463807538, 2599468.8246525973, 2644643.652619496, 2693600.8463487923, 2746457.4228922874, 2803354.5464883894, 2864457.963243231, 2929958.818442732, 3000074.8468272835, 3075051.937991157, 3155166.0898780376, 3240725.773723513, 3332074.7442627996, 3429595.3400328457, 3533712.330621004, 3644897.3812061995, 3763674.220235899, 3890624.6141903102, 4026395.2748028636, 4171705.84972468, 4327358.178492188, 4494247.03314513, 4673372.608613312, 4865855.084221572, 5072951.647084147, 5296076.454329699, 5536824.118605256, 5796997.436144143, 6078640.246702224, 6384076.530260384, 6715957.120324582, 7077315.766420454, 7471636.733824551, 7902936.7205094695, 8375864.645951301, 8895823.887689888, 9469122.898250222, 10103161.952127695, 10806666.22728771, 11589978.772191346, 12465431.516147375, 13447818.888124824, 14555007.619277656, 15808729.124343336, 17235619.32862693, 18868597.78377956, 20748717.88987297, 22927680.21246308, 25471293.00731182, 28464307.736235738, 32017285.969115198, 36276525.93280023, 41438696.665194154, 47772888.39117992, 55654657.781821966, 65620054.86525142, 78454065.17825675, 95340620.96143317, 118127672.33964849, 149818457.83284867, 195534758.70441055, 264537510.33188248, 374829573.22343564, 564776876.3916664, 926596729.4302225, 1721460033.707571]"
8,8846909.429733414,"[6577170.267813373, 4650889.166191932, 3879702.493413586, 3443041.4109238647, 3158987.688510418, 2959822.973734524, 2813741.1591388285, 2703578.3860427514, 2619164.669324532, 2554053.8969575316, 2503947.61352358, 2465864.6818811595, 2437672.75069461, 2417808.966319643, 2405105.858701043, 2398678.674430296, 2397850.1502687708, 2402098.933644064, 2411023.4109893814, 2424315.8547506034, 2441743.6524519473, 2463135.5061288327, 2488371.19314076, 2517373.929633364, 2550104.673146397, 2586557.8985912055, 2626758.516900748, 2670759.699723333, 2718641.4402942806, 2770509.7289485484, 2826496.257486105, 2886758.5937020183, 2951480.7885424346, 3020874.395440325, 3095179.895776376, 3174668.537118852, 3259644.602696225, 3350448.142097071, 3447458.205019757, 3551096.632542461, 3661832.474363357, 3780187.1163332313, 3906740.2210065424, 4042136.6055862308, 4187094.207440704, 4342413.318388581, 4508987.306553632, 4687815.090456277, 4880015.686317146, 5086845.21903035, 5309716.873485565, 5550224.370466739, 5810169.686223537, 6091595.904862285, 6396826.308315009, 6728511.083601147, 7089683.379874319, 7483826.903204799, 7914957.828993112, 8387724.586586922, 8907530.09192264, 9480682.36073032, 10114581.251937538, 10817951.545652807, 11601135.906663299, 12476465.89116317, 13458735.561748564, 14565811.285810888, 15819424.112347364, 17246209.593710065, 18879086.89526874, 20759109.010166407, 22937976.06744051, 25481495.845595002, 28474419.274288714, 32027307.31804174, 36286457.50107038, 41448538.02917504, 47782638.121837854, 55664313.21067667, 65629611.76448202, 78463517.31694996, 95349959.47903252, 118136884.84279788, 149827527.06195152, 195543660.50996017, 264546210.50522542, 374838022.3541393, 564785001.1898637, 926604417.4829392, 1721467105.828302]"
9,8996151.879473468,"[6689283.68994436, 4731586.592284696, 3948182.10676777, 3504859.5440838113, 3216683.4759214595, 3014816.301225804, 2866928.5564286932, 2755575.621185936, 2670422.491223775, 2604919.6312529817, 2554700.705624044, 2516738.5445282683, 2488868.903992079, 2469506.599477522, 2457468.551609151, 2451859.294515364, 2451994.5439120904, 2457348.804216489, 2467518.6401755363, 2482196.4405025393, 2501151.384212211, 2524215.4638763666, 2551273.1343875527, 2582253.613589242, 2617125.1613381356, 2655890.8646805137, 2698585.594296694, 2745273.8931790143, 2796048.626605198, 2851030.2718718797, 2910366.762922883, 2974233.832948357, 3042835.820002556, 3116406.918627292, 3195212.8757780343, 3279553.1430834085, 3369763.510451779, 3466219.2589599043, 3569338.884435609, 3679588.4577636123, 3797486.704307139, 3923610.903625518, 4058603.7326163054, 4203181.201249421, 4358141.861266375, 4524377.505971074, 4702885.625225157, 4894783.936162829, 5101327.379701853, 5323928.059211791, 5564178.705298215, 5823880.385575622, 6105075.348382503, 6410086.105034918, 6741562.130191594, 7102535.912701666, 7496490.544777453, 7927441.629292369, 8400037.059689999, 8919679.248243839, 9492675.735131264, 10126425.92787999, 10829654.175491542, 11612702.728093624, 12487902.73974657, 13470047.879336238, 14577004.124557972, 15830502.133859932, 17257177.062672615, 18889947.666649044, 20769866.50876808, 22948633.258131206, 25492055.191937685, 28484882.682471335, 32037676.06182587, 36296732.12180579, 41458718.202480316, 47792722.47892988, 55674299.09685695, 65639494.90883839, 78473291.37397945, 95359615.38125598, 118146409.8673948, 149836903.45254648, 195552863.38484097, 264555204.58129525, 374846756.63083434, 564793399.9787388, 926612364.6497192, 1721474416.2097464]"
