K1,K2,FinalScore
1,1,373.3564722924729
1,3,372.5367344765343
1,5,367.26656877909375
1,7,369.22005324753326
1,9,378.6533957445364
1,11,375.7808656738593
1,13,374.12773931646575
1,15,372.3019748838885
1,17,379.53395350463387
1,19,371.54724896901166
1,21,367.9197215678069
3,1,375.5386238889686
3,3,374.3816396255275
3,5,373.93332055840267
3,7,377.2498787586165
3,9,375.42912084627505
3,11,374.18472959066787
3,13,369.6924316083951
3,15,378.12497268054926
3,17,376.5218162473984
3,7,377.02479569776335
3,9,378.41266511067283
3,11,373.9138933811076
3,13,377.5357450202362
3,15,375.74948326888256
3,17,378.69414136465315
3,19,372.76187058857784
5,1,378.1786662090577
5,3,432.3843910331212
5,5,434.7800525016589
5,7,377.86833790084967
5,9,379.66034371168
5,11,384.1538537248582
5,13,437.16819616257686
5,15,428.49701140767615
5,17,431.6367697938614
7,13,433.8456990194203
7,15,432.6744279605134
7,17,436.9317967756023
7,19,435.98385250225215
