K1,K2,PosteriorScore,SpectralScore,FinalScore
[1],[1],356.14314605891974,442.20977722668556,373.3564722924729
[1],[3],356.3291365240117,437.36712628662474,372.5367344765343
[1],[5],356.4986945693528,410.3380656180578,367.26656877909375
[1],[7],356.5782344177321,419.78732856673804,369.22005324753326
[1],[9],356.61666933825165,466.80030136967537,378.6533957445364
[1],[11],356.80476968589056,451.68524962573446,375.7808656738593
[1],[13],356.89885426558766,443.043279519978,374.12773931646575
[1],[15],356.9651465402899,433.64928825828304,372.3019748838885
[1],[17],357.1561752196948,469.0450666443903,379.53395350463387
[1],[19],357.2143426067265,428.8788744181522,371.54724896901166
[1],[21],357.28399033253936,410.4626465088771,367.9197215678069
[3],[1],357.0387731179314,449.5380269731171,375.5386238889686
[3],[3],357.4615341894333,442.0620613699044,374.3816396255275
[3],[5],357.746241682646,438.6816360614295,373.93332055840267
[3],[7],357.9645006883632,454.39139103962964,377.2498787586165
[3],[9],358.3053778567424,458.84181412639475,378.41266511067283
[3],[11],358.3101824436018,437.68291817893225,374.18472959066787
[3],[13],358.55361482380187,453.46426580597364,377.5357450202362
[3],[15],358.5354775710378,456.482953118595,378.12497268054926
[3],[17],358.8447433654613,458.09173336142084,378.69414136465315
[3],[19],358.67457658692655,429.111046595183,372.76187058857784
[3],[21],361.5615295579553,457.6271774804376,380.7746591424517
[5],[1],361.59700090198805,444.50532743733646,378.1786662090577
[5],[3],362.37637004683995,761.2421859414796,442.14953322576787
[5],[5],362.9340379105472,722.1641108661057,434.7800525016589
[5],[7],363.29019197785334,436.180921592835,377.86833790084967
[5],[9],363.46092289077086,444.45802699531686,379.66034371168
[5],[11],363.5401283113049,466.60875537907157,384.1538537248582
[5],[13],363.7948577967847,755.9145934215713,442.218804921742
[5],[15],364.0402325406264,700.019322646039,431.2360505617089
[5],[17],364.30989553610414,739.5862479011952,439.36516600912233
[5],[19],364.29563116847515,433.69589087451897,378.1756831096839
[5],[21],364.22094188790777,432.8869479093108,377.95414309218836
[7],[1],361.42848429346986,454.5642197442694,380.0556313836298
[7],[3],362.3594621127494,451.4914211139154,380.1858539129826
[7],[5],363.1588137179035,427.1553783977928,375.9581266538814
[7],[7],363.5032568100582,434.7808166010781,377.75876876826214
[7],[9],363.75100734206416,447.78798050519543,380.5584019746904
[7],[11],363.89673973765935,417.0670881365594,374.53080941743934
[7],[13],364.04765635685743,432.7074999020848,377.7796250659029
[7],[15],364.2679526523793,430.87738358694713,377.58983883929284
[7],[17],364.1662722855277,454.50037056793735,382.23309194200965
[7],[19],364.4578814635086,471.314143951918,385.8291339611905
[7],[21],364.4299020424839,427.8728195080774,377.1184855356026
[9],[1],362.40540539736736,421.1889926238211,374.16212284265805
[9],[3],363.48688026238204,471.4544327450543,385.0803907589165
[9],[5],364.4171880371979,453.7472241866261,382.2831952670835
[9],[7],364.71297986161403,431.3111988996069,378.03262366921257
[9],[9],364.83678643706554,435.51415827375195,378.9722608044028
[9],[11],365.2449954060585,431.7706991422132,378.55013615328943
[9],[13],365.3018821706063,444.4849685539052,381.1384994472661
[9],[15],365.6041164211084,460.6070827525021,384.6047096873871
[9],[17],365.65401027793143,424.056357762756,377.33447977489635
[9],[19],365.8415320560363,438.11799485708127,380.2968246162453
[9],[21],365.65059064209663,427.86149527343366,378.092771568364
[11],[1],364.2571453062977,478.70961355499867,387.1476389560379
[11],[3],365.3354977332144,491.2169808912505,390.51179436482164
[11],[5],366.268264745925,429.72534497924,378.959680792588
[11],[7],366.55972914646543,459.9775781108086,385.24329893933407
[11],[9],366.8857942489243,426.05318206302326,378.7192718117441
[11],[11],364.9973374937928,419.813326158656,375.96053522676544
[11],[13],366.94325419869637,429.72741779113375,379.5000869171838
[11],[15],367.4571942975303,432.6164039829793,380.4890362346201
[11],[17],367.52622376626545,485.2533454982548,391.0716481126633
[11],[19],367.8906803938206,438.03483171154903,381.91951065736635
[11],[21],367.6730604305739,469.14547495453814,387.96754333536677
[13],[1],364.3609214259138,424.62632456292476,376.4140020533159
[13],[3],365.7770591631402,482.03886028642165,389.0294193877965
[13],[5],366.7328431571478,439.79308330873727,381.3448911874657
[13],[7],367.1869184820447,430.81920357546494,379.91337550072876
[13],[9],367.4293788922016,417.67729364871263,377.47896184350384
[13],[11],367.54565292859957,409.8563334574662,376.0077890343729
[13],[13],367.96280440684995,418.3902566224459,378.0482948499691
[13],[15],368.25482809080245,476.64217272235754,389.93229701711346
[13],[17],368.3388097148734,475.60512451075147,389.792072674049
[13],[19],368.5034686995269,470.4041458814896,388.8836041359194
[13],[21],368.80121814017406,423.40319481084623,379.72161347430847
[15],[1],364.19312779924286,459.95224551649864,383.344951342694
[15],[3],365.68444872949453,476.55484757087345,387.8585284977703
[15],[5],366.8176011587502,436.13410734772276,380.6809023965447
[15],[7],367.1304690025118,414.90678219538603,376.6857316410866
[15],[9],367.38971366911284,416.15978614042206,377.1437281633747
[15],[11],367.6590121337029,442.09133222923793,382.5454761528099
[15],[13],367.74059372946635,421.3802426802048,378.46852351961405
[15],[15],367.9676575031226,474.8350687976607,389.3411397620302
[15],[17],368.1045880719773,463.57079126777563,387.19782871113694
[15],[19],368.73431202696884,474.4677411855985,389.88099785869474
[15],[21],368.59348888002063,398.5004193964156,374.57487498329965
[17],[1],365.6905476146091,428.00491971708755,378.15342203510477
[17],[3],367.39172514864913,440.9264869290031,382.0986775047199
[17],[5],368.58602214283223,427.62615597344256,380.3940489089543
[17],[7],368.9960398491854,440.1110807494526,383.2190480292388
[17],[9],369.37800954283097,453.1240323925972,386.1272141127842
[17],[11],369.49163394933925,434.4212609061891,382.4775593407092
[17],[13],369.83645073627116,448.0869981346671,385.48656021595036
[17],[15],369.83762707450643,445.6161445437973,384.9933305683646
[17],[17],370.33780851517014,440.0239333305647,384.27503347824904
[17],[19],370.5388527670996,441.9785038932566,384.826782992331
[17],[21],370.2870596017537,425.5596513493001,381.341577951263
[19],[1],366.79347633110785,431.45578283031136,379.7259376309486
[19],[3],368.7846755633784,448.8791077202997,384.8035619947627
[19],[5],369.848319216247,394.4875708745688,374.7761695479113
[19],[7],370.56605040419595,695.5463948236986,435.5621192880965
[19],[9],370.7624921558733,716.5008671785524,439.9101671604091
[19],[10],370.8344571760666,734.6663769696179,443.60084113477683
[19],[11],371.1665191698028,662.5309496885391,429.43940527355005
[19],[13],371.3882349637898,737.5214697382859,444.614881918689
[19],[15],371.651766658913,781.5829556367305,453.63800445447646
